epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8664,1.71408,7.19213,0.7163,2.40407,1.65974,0.64421,0.69106,0.71514,0.39243,0.00753,0.05691,0.00248,0.00031,1.25937,7.39443,0.70877,2.33781,1.30017,0.00058,0.00058,0.00058
2,19.4003,1.43526,6.1618,0.72858,1.32527,1.40011,0.60061,0.66667,0.64048,0.34163,0.1042,0.11382,0.02212,0.00294,1.42872,6.3235,0.72143,1.60228,1.50817,0.00117907,0.00117907,0.00117907
3,23.7,1.48432,5.51028,0.72827,1.29924,1.42794,0.46708,0.62602,0.48814,0.24816,0.22839,0.23577,0.09738,0.02005,1.50519,5.20177,0.74668,2.72738,1.64368,0.00177718,0.00177718,0.00177718
4,27.392,1.49748,4.88915,0.70154,1.29724,1.42775,0.67921,0.70732,0.7412,0.38827,0.27318,0.31301,0.15123,0.03087,1.47142,5.53345,0.68409,1.86542,1.49763,0.00199525,0.00199525,0.00199525
5,31.2373,1.46191,4.62476,0.68963,1.24186,1.41445,0.61997,0.68969,0.62401,0.34823,0.40022,0.42276,0.25025,0.07081,1.40575,4.77942,0.64386,1.63802,1.38494,0.00199366,0.00199366,0.00199366
6,33.6597,1.47804,4.29557,0.67147,1.26367,1.40044,0.50568,0.69919,0.52045,0.28952,0.31827,0.49912,0.22013,0.07038,1.42873,3.99926,0.58819,1.67102,1.4291,0.00199208,0.00199208,0.00199208
7,37.4283,1.41917,4.04478,0.65811,1.27662,1.37074,0.7346,0.68636,0.74064,0.38875,0.39539,0.44395,0.30609,0.07754,1.44653,4.33342,0.53686,1.43921,1.46479,0.0019905,0.0019905,0.0019905
8,41.7589,1.48125,4.16388,0.65967,1.28407,1.43091,0.46096,0.54576,0.49628,0.25634,0.25945,0.4065,0.2116,0.05351,1.50816,4.15634,0.53695,2.54864,1.47557,0.00198891,0.00198891,0.00198891
9,45.7116,1.45082,3.90592,0.65217,1.27697,1.39502,0.70489,0.68699,0.71668,0.4029,0.68836,0.54772,0.57885,0.16859,1.44773,3.36781,0.53922,1.3251,1.41651,0.00198733,0.00198733,0.00198733
10,50.1002,1.36505,3.82984,0.64741,1.17163,1.3424,0.72326,0.61382,0.68452,0.40603,0.66367,0.53252,0.53201,0.1855,1.48872,3.78501,0.54534,1.24811,1.41211,0.00198574,0.00198574,0.00198574
11,54.0836,1.36988,3.81854,0.64966,1.20344,1.36178,0.77171,0.69512,0.75868,0.47517,0.69423,0.61838,0.57793,0.19365,1.30013,3.39484,0.5332,1.38911,1.29697,0.00198416,0.00198416,0.00198416
