epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3417,1.95968,7.36786,0.71914,3.43292,1.87066,0.53399,0.65753,0.61129,0.32659,0.01461,0.0137,0.00152,0.00019,1.42515,7.48181,0.70748,3.18282,1.38998,0.00032,0.00032,0.00032
2,17.5127,1.46138,6.63019,0.72484,1.38061,1.39237,0.62911,0.63899,0.69129,0.34459,0.01383,0.0411,0.0033,0.00037,1.54998,7.20927,0.70782,1.98134,1.50081,0.000656733,0.000656733,0.000656733
3,19.8289,1.48959,6.0415,0.74202,1.27152,1.3713,0.65181,0.62329,0.6242,0.27868,0.1654,0.11644,0.03719,0.00547,1.89312,6.21611,0.75338,1.74619,1.86434,0.0009901,0.0009901,0.0009901
4,21.8605,1.49136,5.44576,0.74962,1.24019,1.39586,0.43649,0.64384,0.49736,0.24194,0.15152,0.21918,0.05741,0.01136,1.78963,5.85599,0.76998,1.88267,1.8336,0.0013201,0.0013201,0.0013201
5,23.7393,1.45348,4.89899,0.73631,1.17942,1.37715,0.61629,0.5411,0.57417,0.28884,0.34352,0.22603,0.13444,0.02915,1.75604,5.79367,0.74792,1.99881,1.77476,0.00164674,0.00164674,0.00164674
6,25.668,1.48394,4.75128,0.72128,1.2634,1.43854,0.67448,0.5411,0.55248,0.28951,0.33596,0.29803,0.16015,0.03663,1.68493,5.70591,0.77001,2.09211,1.71304,0.0019505,0.0019505,0.0019505
7,27.7577,1.48766,4.61332,0.70957,1.26753,1.43425,0.70504,0.61644,0.70337,0.38027,0.32657,0.39041,0.18625,0.03938,1.43528,4.86052,0.75582,2.17386,1.46819,0.0019406,0.0019406,0.0019406
8,29.927,1.44421,4.28218,0.69232,1.20724,1.38621,0.69535,0.64099,0.68289,0.31809,0.28854,0.24658,0.1318,0.02779,1.70628,5.02299,0.70078,1.68275,1.74257,0.0019307,0.0019307,0.0019307
9,32.0304,1.38761,4.11864,0.68729,1.15185,1.37065,0.74141,0.71918,0.75356,0.36424,0.45401,0.4589,0.35902,0.10062,1.70224,4.17403,0.6608,1.35385,1.64276,0.0019208,0.0019208,0.0019208
10,34.9187,1.41274,4.0603,0.67845,1.10561,1.34906,0.7534,0.73239,0.7516,0.404,0.55932,0.48684,0.41899,0.13665,1.49092,3.9965,0.62498,1.32563,1.48851,0.0019109,0.0019109,0.0019109
11,37.0578,1.38941,3.96563,0.67436,1.14225,1.35348,0.69202,0.8003,0.82649,0.49295,0.53864,0.65753,0.49027,0.19399,1.38012,3.37112,0.60158,1.26388,1.3882,0.001901,0.001901,0.001901
12,39.1209,1.35011,3.69313,0.65568,1.09379,1.3088,0.73055,0.80822,0.8084,0.48885,0.63149,0.69863,0.61877,0.20805,1.32729,3.29699,0.59365,1.10223,1.34925,0.0018911,0.0018911,0.0018911
13,41.2723,1.36065,3.54799,0.66416,1.08318,1.33008,0.66462,0.73973,0.7325,0.40001,0.53539,0.59589,0.4815,0.14014,1.53111,3.61638,0.59455,1.52555,1.45252,0.0018812,0.0018812,0.0018812
14,46.4755,1.39136,3.55248,0.66262,1.08904,1.38179,0.8192,0.74658,0.84153,0.46248,0.73554,0.65753,0.69088,0.24416,1.41439,3.27438,0.563,1.42657,1.43079,0.0018713,0.0018713,0.0018713
